cid; 	 iupac; 	 groups (semicolon delimited);
mobley_5732611; 	 4-methyl-1H-imidazole 	; aromatic; heterocyclic
mobley_5747188; 	 1-methyl-2-nitro-benzene 	; nitro; aromatic
mobley_5747981; 	 1,1,1,2-tetramethoxyethane 	; dialkyl ether; orthocarboxylic acid derivative; orthoester
mobley_5759258; 	 pentan-1-ol 	; primary alcohol
mobley_5760563; 	 dimethyl sulfate 	; sulfuric acid diester
mobley_5816127; 	 2-methoxyethanol 	; primary alcohol; dialkyl ether
mobley_5852491; 	 methylcyclopentane 	; 
mobley_5857; 	 quinoline 	; aromatic; heterocyclic
mobley_5880265; 	 2-butoxyethanol 	; primary alcohol; dialkyl ether
mobley_588781; 	 hexylbenzene 	; aromatic
mobley_5890803; 	 propyl propanoate 	; carboxylic acid ester
mobley_590519; 	 ethyldisulfanylethane 	; disulfide
mobley_5917842; 	 4-methyl-2-methoxyphenol 	; phenol or hydroxyhetarene; alkyl aryl ether; aromatic
mobley_5935995; 	 2,2-dimethylbutane 	; 
mobley_5948990; 	 2-nitroaniline 	; primary amine; primary aromatic amine; nitro; aromatic
mobley_5952846; 	 1,1,2,2-tetrachloroethylene 	; halogen derivative
mobley_5973402; 	 3-methylbutan-1-ol 	; primary alcohol
mobley_5977084; 	 3-methylpyridine 	; aromatic; heterocyclic
mobley_6006813; 	 1-nitrobutane 	; nitro
mobley_6055410; 	 diflunisal 	; phenol or hydroxyhetarene; aryl fluoride; carboxylic acid; aromatic
mobley_6060301; 	 hexan-1-amine 	; primary amine; primary aliphatic amine (alkylamine)
mobley_6081058; 	 oct-2-enal 	; aldehyde; alkene
mobley_6082662; 	 4-nitroaniline 	; primary amine; primary aromatic amine; nitro; aromatic
mobley_6091882; 	 ethylene 	; alkene
mobley_6102880; 	 diphenyl ether 	; diaryl ether; aromatic
mobley_6115639; 	 trimethyl phosphate 	; phosphoric acid ester
mobley_6175884; 	 4-methylbenzaldehyde 	; aldehyde; aromatic
mobley_6190089; 	 1,1,2,2-tetrachloroethane 	; alkyl chloride
mobley_6195751; 	 2,6-dichlorosyringaldehyde 	; aldehyde; phenol or hydroxyhetarene; alkyl aryl ether; aryl chloride; aromatic
mobley_6198745; 	 2,3-diacetoxypropyl acetate 	; carboxylic acid ester
mobley_6201330; 	 propyl paraben 	; phenol or hydroxyhetarene; carboxylic acid ester; aromatic
mobley_6232400; 	 pyridine-3-carbaldehyde 	; aldehyde; aromatic; heterocyclic
mobley_6235784; 	 2-chlorobutane 	; alkyl chloride
mobley_6239320; 	 cyanuric acid 	; oxo(het)arene; aromatic; heterocyclic
mobley_6248915; 	 octan-1-amine 	; primary amine; primary aliphatic amine (alkylamine)
mobley_6250025; 	 1-iodohexane 	; alkyl iodide
mobley_6257907; 	 3-chloroaniline 	; primary amine; primary aromatic amine; aryl chloride; aromatic
mobley_6266306; 	 azetidine 	; secondary amine; secondary aliphatic amine (dialkylamine); heterocyclic
mobley_627267; 	 1-bromo-2-methyl-propane 	; alkyl bromide
mobley_628086; 	 1,1,1-trifluoropropan-2-ol 	; secondary alcohol; halogen derivative
mobley_628951; 	 1,3-dichloro-2-(2,6-dichlorophenyl)benzene 	; aryl chloride; aromatic
mobley_6303022; 	 4-ethylpyridine 	; aromatic; heterocyclic
mobley_6309289; 	 piperidine 	; secondary amine; secondary aliphatic amine (dialkylamine); heterocyclic
mobley_632905; 	 1-(4-methoxyphenyl)ethanone 	; ketone; alkyl aryl ether; aromatic
mobley_6334915; 	 (1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol 	; halogen derivative; phosphonic acid derivative; phosphonic acid ester
mobley_6338073; 	 terbutryn 	; thioether; secondary amine; secondary aliphatic/aromatic amine (alkylarylamine); aromatic; heterocyclic
mobley_6353617; 	 1-(3-pyridyl)ethanone 	; ketone; aromatic; heterocyclic
mobley_6358463; 	 1,2-bis(trifluoromethyl)benzene 	; halogen derivative; aromatic
mobley_6359135; 	 carbon tetrachloride 	; halogen derivative
mobley_6359156; 	 1,4-dichloro-2-phenyl-benzene 	; aryl chloride; aromatic
mobley_63712; 	 1-methylpiperidine 	; tertiary amine; tertiary aliphatic amine (trialkylamine); heterocyclic
mobley_637522; 	 anthracene 	; aromatic
mobley_6416775; 	 propylcyclopentane 	; 
mobley_6430250; 	 propylbenzene 	; aromatic
mobley_6456034; 	 isobutyl 2-methylpropanoate 	; carboxylic acid ester
mobley_646007; 	 pyrrolidine 	; secondary amine; secondary aliphatic amine (dialkylamine); heterocyclic
mobley_6474572; 	 chloroethylene 	; halogen derivative; alkene
mobley_6497672; 	 but-2-enal 	; aldehyde; alkene
mobley_6522117; 	 2-chloro-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate 	; aryl chloride; phosphoric acid ester; alkene; aromatic
mobley_6571751; 	 1-methylcyclohexene 	; alkene
mobley_6619554; 	 ethyl pentanoate 	; carboxylic acid ester
mobley_6620221; 	 carbofuran 	; alkyl aryl ether; carbamic acid ester (urethane); aromatic; heterocyclic
mobley_6632459; 	 propanal 	; aldehyde
mobley_664966; 	 diiodomethane 	; alkyl iodide
mobley_667278; 	 1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene 	; aryl chloride; aromatic
mobley_6688723; 	 3,5-dichloro-2,6-dimethoxyphenol 	; phenol or hydroxyhetarene; alkyl aryl ether; aryl chloride; aromatic
mobley_6714389; 	 methanamine 	; primary amine; primary aliphatic amine (alkylamine)
mobley_6727159; 	 2-(nitrooxy)ethan-1-ol 	; primary alcohol; nitrate
mobley_6733657; 	 chlordane 	; alkyl chloride; alkene
mobley_6739648; 	 1,4-dioxane 	; dialkyl ether; heterocyclic
mobley_6743808; 	 3,4-dimethylphenol 	; phenol or hydroxyhetarene; aromatic
mobley_676247; 	 tetrafluoromethane 	; halogen derivative
mobley_6794076; 	 1-(4-pyridyl)ethanone 	; ketone; aromatic; heterocyclic
mobley_6804509; 	 1,2,4,5-tetrachlorobenzene 	; aryl chloride; aromatic
mobley_6812653; 	 hexane 	; 
mobley_6843802; 	 1,2,2-trifluoroethoxybenzene 	; alkyl fluoride; aromatic
mobley_6854178; 	 isopropyl formate 	; carboxylic acid ester
mobley_6861308; 	 fenuron 	; urea; aromatic
mobley_6896128; 	 3-methylheptane 	; 
mobley_6911232; 	 methoxyethane 	; dialkyl ether
mobley_6917738; 	 2-methoxyethanamine 	; dialkyl ether; primary amine; primary aliphatic amine (alkylamine)
mobley_6929123; 	 methyl 2-chloroacetate 	; alkyl chloride; carboxylic acid ester
mobley_6935906; 	 (3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate 	; carboxylic acid ester; alkene
mobley_6973347; 	 ethyl acetate 	; carboxylic acid ester
mobley_6978427; 	 methyl cyclohexanecarboxylate 	; carboxylic acid ester
mobley_6981465; 	 isopropyl acetate 	; carboxylic acid ester
mobley_6988468; 	 2-ethylpyridine 	; aromatic; heterocyclic
mobley_7009711; 	 3,5-dimethylphenol 	; phenol or hydroxyhetarene; aromatic
mobley_7010316; 	 cyclohexanol 	; secondary alcohol
mobley_7015518; 	 methoxymethane 	; dialkyl ether
mobley_7017274; 	 phenanthrene 	; aromatic
mobley_7039935; 	 naphthalen-1-ol 	; phenol or hydroxyhetarene; aromatic
mobley_7047032; 	 2-chloro-2-methyl-propane 	; alkyl chloride
mobley_7066554; 	 4-chlorophenol 	; phenol or hydroxyhetarene; aryl chloride; aromatic
mobley_7099614; 	 3-chloroprop-1-ene 	; alkyl chloride; alkene
mobley_7106722; 	 isohexane 	; 
mobley_7142697; 	 pentan-1-amine 	; primary amine; primary aliphatic amine (alkylamine)
mobley_7150646; 	 1,4-dibromobenzene 	; aryl bromide; aromatic
mobley_7157427; 	 1-chloroheptane 	; alkyl chloride
mobley_7176248; 	 trifluralin 	; tertiary amine; tertiary aliphatic/aromatic amine (alkylarylamine); halogen derivative; nitro; aromatic
mobley_7176290; 	 3-nitrophenol 	; phenol or hydroxyhetarene; nitro; aromatic
mobley_718988; 	 heptan-1-amine 	; primary amine; primary aliphatic amine (alkylamine)
mobley_7200804; 	 2-fluorophenol 	; phenol or hydroxyhetarene; aryl fluoride; aromatic
mobley_7203421; 	 hexanamide 	; primary carboxylic acid amide
mobley_7227357; 	 pentan-3-ol 	; secondary alcohol
mobley_7239499; 	 1-chlorodibenzo-p-dioxin 	; diaryl ether; aryl chloride; aromatic; heterocyclic
mobley_7261305; 	 hydrazine 	; hydrazine derivative
mobley_7295828; 	 anisole 	; alkyl aryl ether; aromatic
mobley_7298388; 	 1-methyl-3-nitro-benzene 	; nitro; aromatic
mobley_7326706; 	 chlorpyrifos 	; aryl chloride; thiophosphoric acid ester; aromatic; heterocyclic
mobley_7326982; 	 propan-2-ol 	; secondary alcohol
mobley_7360181; 	 1,1,1-trifluoro-2,2,2-trimethoxyethane 	; halogen derivative; orthocarboxylic acid derivative; orthoester
mobley_7364468; 	 3,5,5-trimethylcyclohex-2-en-1-one 	; ketone; alkene
mobley_7375018; 	 undecan-2-one 	; ketone
mobley_7378987; 	 caffeine 	; oxo(het)arene; aromatic; heterocyclic
mobley_7393673; 	 methyl 4-methoxybenzoate 	; alkyl aryl ether; carboxylic acid ester; aromatic
mobley_7415647; 	 N,N-dimethyl-4-nitro-benzamide 	; tertiary carboxylic acid amide; nitro; aromatic
mobley_7417968; 	 2-ethoxyethyl acetate 	; dialkyl ether; carboxylic acid ester
mobley_7455579; 	 isobutyl formate 	; carboxylic acid ester
mobley_7463408; 	 N-(3,4-dichlorophenyl)propanimidic acid 	; aryl chloride; secondary carboxylic acid amide; aromatic
mobley_7463799; 	 3-phenylpropan-1-ol 	; primary alcohol; aromatic
mobley_7497999; 	 1-phenylethanone 	; ketone; aromatic
mobley_7532833; 	 acetonitrile 	; carbonitrile
mobley_7542832; 	 1-propoxypropane 	; dialkyl ether
mobley_755351; 	 3-methoxyaniline 	; alkyl aryl ether; primary amine; primary aromatic amine; aromatic
mobley_7573149; 	 propyl acetate 	; carboxylic acid ester
mobley_7578802; 	 bromoform 	; halogen derivative
mobley_7599023; 	 bromobenzene 	; aryl bromide; aromatic
mobley_7608435; 	 methyl octanoate 	; carboxylic acid ester
mobley_7608462; 	 chlorobenzene 	; aryl chloride; aromatic
mobley_7610437; 	 2-methylpentan-3-ol 	; secondary alcohol
mobley_766666; 	 1,1,2-trichloroethylene 	; halogen derivative
mobley_7676709; 	 6-isopropyl-3-methyl-1-cyclohex-2-enone 	; ketone; alkene
mobley_7688753; 	 3-hydroxybenzaldehyde 	; aldehyde; phenol or hydroxyhetarene; aromatic
mobley_7690440; 	 methyldisulfanylmethane 	; disulfide
mobley_7708038; 	 1-bromopropane 	; alkyl bromide
mobley_7732703; 	 bromo-trifluoro-methane 	; halogen derivative
mobley_7735340; 	 imidazole 	; aromatic; heterocyclic
mobley_7754849; 	 ethion 	; thiophosphoric acid ester
mobley_7758918; 	 propionic acid 	; carboxylic acid
mobley_7768165; 	 1-bromo-2-chloro-ethane 	; alkyl chloride; alkyl bromide
mobley_7769613; 	 2-bromo-2-methyl-propane 	; alkyl bromide
mobley_7774695; 	 N-methylaniline 	; secondary amine; secondary aliphatic/aromatic amine (alkylarylamine); aromatic
mobley_778352; 	 2-methylbut-2-ene 	; alkene
mobley_7794077; 	 5-trifluoromethyluracil 	; halogen derivative; oxo(het)arene; aromatic; heterocyclic
mobley_7814642; 	 1,2,4-trichlorobenzene 	; aryl chloride; aromatic
mobley_7829570; 	 N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline 	; tertiary amine; tertiary aliphatic/aromatic amine (alkylarylamine); halogen derivative; nitro; aromatic
mobley_7859387; 	 heptanal 	; aldehyde
mobley_7860938; 	 N-butylbutan-1-amine 	; secondary amine; secondary aliphatic amine (dialkylamine)
mobley_7869158; 	 [(2S)-butan-2-yl] nitrate 	; nitrate
mobley_7893124; 	 tert-butylbenzene 	; aromatic
mobley_7912193; 	 butyl paraben 	; phenol or hydroxyhetarene; carboxylic acid ester; aromatic
mobley_7913234; 	 1-butoxy-2-propanol 	; secondary alcohol; dialkyl ether
mobley_7943327; 	 ethyl propanoate 	; carboxylic acid ester
mobley_7977115; 	 hexan-3-ol 	; secondary alcohol
mobley_7983227; 	 2-methylbutan-1-ol 	; primary alcohol
mobley_7988076; 	 4-hydroxybenzaldehyde 	; aldehyde; phenol or hydroxyhetarene; aromatic
mobley_8006582; 	 cyclopentane 	; 
mobley_8011706; 	 N,N-dimethylformamide 	; tertiary carboxylic acid amide
mobley_8048190; 	 acetamide 	; primary carboxylic acid amide
mobley_8052240; 	 1-amino-9,10-anthracenedione 	; ketone; primary amine; primary aromatic amine; aromatic
mobley_8057732; 	 3-chlorophenol 	; phenol or hydroxyhetarene; aryl chloride; aromatic
mobley_8117218; 	 endrin 	; dialkyl ether; alkyl chloride; alkene; heterocyclic
mobley_8118832; 	 prop-2-en-1-ol 	; primary alcohol; alkene
mobley_8124669; 	 alachlor 	; hemiaminal; alkyl chloride; tertiary carboxylic acid amide; aromatic
mobley_8127829; 	 ethylbenzene 	; aromatic
mobley_819018; 	 (2E)-3,7-dimethylocta-2,6-dien-1-ol 	; primary alcohol; alkene
mobley_8191186; 	 2-chloro-1,1,1-trifluoro-ethane 	; alkyl chloride
mobley_8207196; 	 simazine 	; secondary amine; secondary aliphatic/aromatic amine (alkylarylamine); aryl chloride; aromatic; heterocyclic
mobley_820789; 	 butyric acid 	; carboxylic acid
mobley_8208692; 	 1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene 	; aryl chloride; aromatic
mobley_8221999; 	 butanenitrile 	; carbonitrile
mobley_8260524; 	 prop-1-yne 	; alkyne
mobley_8311303; 	 1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene 	; aryl chloride; aromatic
mobley_8311321; 	 chloro-difluoro-methane 	; halogen derivative
mobley_8320545; 	 1-nitroethane 	; nitro
mobley_8337722; 	 (1R,2S,5R)-2-isopropyl-5-methylcyclohexanol 	; secondary alcohol
mobley_8337977; 	 4-methylpentan-2-one 	; ketone
mobley_8426916; 	 N-ethylethanamine 	; secondary amine; secondary aliphatic amine (dialkylamine)
mobley_8427539; 	 propionamide 	; primary carboxylic acid amide
mobley_8436428; 	 2,4-dimethylpentane 	; 
mobley_8449031; 	 N,N-diethylethanamine 	; tertiary amine; tertiary aliphatic amine (trialkylamine)
mobley_8467917; 	 hept-2-ene 	; alkene
mobley_8492526; 	 pentanal 	; aldehyde
mobley_8514745; 	 pentyl acetate 	; carboxylic acid ester
mobley_8522124; 	 oct-1-yne 	; alkyne
mobley_8525830; 	 1-iodopentane 	; alkyl iodide
mobley_852937; 	 4-fluorophenol 	; phenol or hydroxyhetarene; aryl fluoride; aromatic
mobley_8558116; 	 4-methylmorpholine 	; dialkyl ether; tertiary amine; tertiary aliphatic amine (trialkylamine); heterocyclic
mobley_8573194; 	 butanal 	; aldehyde
mobley_8578590; 	 methylsulfinylmethane 	; sulfoxide
mobley_859464; 	 isobutyl acetate 	; carboxylic acid ester
mobley_8614858; 	 heptane 	; 
mobley_8668219; 	 2,3-dimethylpentane 	; 
mobley_8685905; 	 2-bromo-1,1,1,2-tetrafluoro-ethane 	; alkyl fluoride; alkyl bromide
mobley_8691603; 	 m-cresol 	; phenol or hydroxyhetarene; aromatic
mobley_8705848; 	 N-isopropylpropan-2-amine 	; secondary amine; secondary aliphatic amine (dialkylamine)
mobley_8713762; 	 N,N-dipropyl(propylsulfanyl)formamide 	; thiocarbamic acid ester
mobley_8723116; 	 4-chloroaniline 	; primary amine; primary aromatic amine; aryl chloride; aromatic
mobley_8739734; 	 3-methylbutan-2-one 	; ketone
mobley_8746821; 	 2,3-dimethylpyridine 	; aromatic; heterocyclic
mobley_8754702; 	 propyl formate 	; carboxylic acid ester
mobley_8764620; 	 pyridine-3-carbonitrile 	; carbonitrile; aromatic; heterocyclic
mobley_8765203; 	 isoprene 	; alkene
mobley_8772587; 	 1-iodobutane 	; alkyl iodide
mobley_8785107; 	 2,5-dimethyltetrahydrofuran 	; dialkyl ether; heterocyclic
mobley_8789465; 	 2-iodophenol 	; phenol or hydroxyhetarene; aryl iodide; aromatic
mobley_8789864; 	 3,3,3-trimethoxypropanenitrile 	; carbonitrile; orthocarboxylic acid derivative; orthoester
mobley_8798016; 	 pyridine-4-carbaldehyde 	; aldehyde; aromatic; heterocyclic
mobley_8809190; 	 butylbenzene 	; aromatic
mobley_8809274; 	 trifluoromethylbenzene 	; halogen derivative; aromatic
mobley_8823527; 	 1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene 	; aryl chloride; aromatic
mobley_8827942; 	 1,2,4-trichlorodibenzo-p-dioxin 	; diaryl ether; aryl chloride; aromatic; heterocyclic
mobley_8861672; 	 2,4-dimethylpyridine 	; aromatic; heterocyclic
mobley_8882696; 	 tetrahydrofuran 	; dialkyl ether; heterocyclic
mobley_8883511; 	 2-methylbenzaldehyde 	; aldehyde; aromatic
mobley_8885088; 	 cyclopentene 	; alkene
mobley_8899867; 	 cyclopentanol 	; secondary alcohol
mobley_8916409; 	 diethyl (2R)-2-dimethoxyphosphinothioylsulfanylbutanedioate 	; carboxylic acid ester; thiophosphoric acid ester
mobley_8966374; 	 2-methylpyrazine 	; aromatic; heterocyclic
mobley_8983100; 	 bromomethane 	; alkyl bromide
mobley_900088; 	 2,3-dimethylbuta-1,3-diene 	; alkene
mobley_9007496; 	 naphthalen-1-yl N-methylcarbamate 	; carbamic acid ester (urethane); aromatic
mobley_9015240; 	 1-bromooctane 	; alkyl bromide
mobley_9028462; 	 methyl 2,2,2-trifluoroacetate 	; halogen derivative; carboxylic acid ester
mobley_902954; 	 butyl nitrate 	; nitrate
mobley_9029594; 	 fluoromethane 	; alkyl fluoride
mobley_9055303; 	 methane 	; 
mobley_9073553; 	 methylsulfanylmethane 	; thioether
mobley_9100956; 	 methylcyclohexane 	; 
mobley_9112978; 	 pent-2-ene 	; alkene
mobley_9114381; 	 methyl 2-cyanoacetate 	; carboxylic acid ester; carbonitrile
mobley_9121449; 	 but-1-yne 	; alkyne
mobley_9139060; 	 1,4-dimethylcyclohexane 	; 
mobley_9185328; 	 propan-1-amine 	; primary amine; primary aliphatic amine (alkylamine)
mobley_9197172; 	 oct-1-ene 	; alkene
mobley_9201263; 	 methyl methanesulfonate 	; sulfonic acid ester
mobley_9209581; 	 N,N-dimethylmethanamine 	; tertiary amine; tertiary aliphatic amine (trialkylamine)
mobley_9246215; 	 penta-1,4-diene 	; alkene
mobley_9246351; 	 dibromomethane 	; alkyl bromide
mobley_9257453; 	 3,4-dichlorophenol 	; phenol or hydroxyhetarene; aryl chloride; aromatic
mobley_9281946; 	 diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane 	; nitro; thiophosphoric acid ester; aromatic
mobley_929676; 	 1-bromohexane 	; alkyl bromide
mobley_9407874; 	 octan-2-one 	; ketone
mobley_9414831; 	 1-methylnaphthalene 	; aromatic
mobley_9434451; 	 2-bromopropane 	; alkyl bromide
mobley_9460824; 	 diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane 	; thiophosphoric acid ester
mobley_9478823; 	 o-xylene 	; aromatic
mobley_9507933; 	 2,5-dimethylpyridine 	; aromatic; heterocyclic
mobley_9510785; 	 1,2,3,4-tetrachloro-5-phenyl-benzene 	; aryl chloride; aromatic
mobley_951560; 	 piperazine 	; secondary amine; secondary aliphatic amine (dialkylamine); heterocyclic
mobley_9534740; 	 (2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol 	; hemiacetal; primary alcohol; secondary alcohol; 1,2-diol; heterocyclic
mobley_9557440; 	 5-chlorouracil 	; aryl chloride; oxo(het)arene; aromatic; heterocyclic
mobley_9565165; 	 9H-fluorene 	; aromatic
mobley_9571888; 	 endosulfan alpha 	; alkyl chloride; alkene; heterocyclic
mobley_9617923; 	 decan-2-one 	; ketone
mobley_9624458; 	 1,3-dichloropropane 	; alkyl chloride
mobley_9626434; 	 2-ethoxyethanol 	; primary alcohol; dialkyl ether
mobley_9653690; 	 (1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol 	; secondary alcohol; alkene
mobley_967099; 	 2-nitropropane 	; nitro
mobley_9671033; 	 1-nitropropane 	; nitro
mobley_9705941; 	 2-methylthiophene 	; aromatic; heterocyclic
mobley_9717937; 	 1-chloro-2-phenyl-benzene 	; aryl chloride; aromatic
mobley_9729792; 	 cyclohepta-1,3,5-triene 	; alkene
mobley_9733743; 	 butan-1-amine 	; primary amine; primary aliphatic amine (alkylamine)
mobley_9740891; 	 dichlobenil 	; aryl chloride; carbonitrile; aromatic
mobley_9741965; 	 1,3-bis-(nitrooxy)butane 	; nitrate
mobley_9794857; 	 2-methoxy-2-methyl-propane 	; dialkyl ether
mobley_9821936; 	 1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin 	; diaryl ether; aryl chloride; aromatic; heterocyclic
mobley_9838013; 	 2-methylbutan-2-ol 	; tertiary alcohol
mobley_9883303; 	 3-methylhexane 	; 
mobley_9897248; 	 (2Z)-3,7-dimethylocta-2,6-dien-1-ol 	; primary alcohol; alkene
mobley_9913368; 	 (E)-1,2-dichloroethylene 	; halogen derivative; alkene
mobley_9942801; 	 1-ethyl-4-methyl-benzene 	; aromatic
mobley_994483; 	 bromoethane 	; alkyl bromide
mobley_9974966; 	 2-isopropylsulfanylpropane 	; thioether
mobley_9979854; 	 111-trifluoropropan-2-ol 	; secondary alcohol; halogen derivative
